75,Walgreens Boots Alliance Inc,WBA,0.267,47.95,0.14,(0.29%)
76,Baidu Inc ADR,BIDU,0.264,154.60,-7.22,(-4.46%)
77,Match Group Inc,MTCH,0.264,142.26,-5.35,(-3.62%)
78,Electronic Arts Inc,EA,0.254,137.89,-0.25,(-0.18%)
79,Biogen Inc,BIIB,0.249,258.00,-0.38,(-0.15%)
80,Okta Inc,OKTA,0.247,266.80,0.38,(0.14%)
81,Copart Inc,CPRT,0.24,155.77,-1.40,(-0.89%)
82,Verisk Analytics Inc,VRSK,0.234,226.84,2.34,(1.04%)
83,Fastenal Co,FAST,0.227,61.19,-0.04,(-0.07%)
84,Xcel Energy Inc,XEL,0.226,64.33,-0.64,(-0.99%)
85,ANSYS Inc,ANSS,0.225,399.17,-0.19,(-0.05%)
86,Pinduoduo Inc ADR,PDD,0.221,85.14,-4.63,(-5.16%)
87,NetEase Inc ADR,NTES,0.218,112.87,0.38,(0.34%)
88,Seagen Inc,SGEN,0.216,184.21,0.38,(0.21%)
89,PACCAR Inc,PCAR,0.199,86.98,-2.01,(-2.26%)
90,Dollar Tree Inc,DLTR,0.191,134.40,2.83,(2.15%)
91,Skyworks Solutions Inc,SWKS,0.174,163.20,0.23,(0.14%)
92,Sirius XM Holdings Inc,SIRI,0.173,6.36,-0.27,(-4.07%)
93,CDW Corp/DE,CDW,0.173,195.39,0.15,(0.08%)
94,VeriSign Inc,VRSN,0.173,241.02,1.52,(0.63%)
95,Splunk Inc,SPLK,0.148,136.29,-3.24,(-2.32%)
96,Cerner Corp,CERN,0.142,73.59,-0.73,(-0.98%)
97,Trip.com Group Ltd ADR,TCOM,0.1,28.56,-0.81,(-2.76%)
98,Check Point Software Technologies Ltd,CHKP,0.099,115.37,0.30,(0.26%)
99,Incyte Corp,INCY,0.093,64.77,-0.25,(-0.38%)
100,Peloton Interactive Inc,PTON,0.09,48.40,-2.73,(-5.34%)
101,Fox Corp,FOXA,0.084,40.91,0.62,(1.54%)
102,Fox Corp,FOX,0.061,36.91,-0.63,(-1.68%)
